##BLOCKS= 1          																															
Plate:	Plate01	1.3	PlateFormat	Spectrum	Fluorescence	TRUE	Raw	FALSE	14			495	560	5			1	24	384	475	Manual	495	Emission Sweep	475	6	Automatic			7	10	None
Wavelength(nm)	Temperature(¡C)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24						
495	23.9																														
																															
																															
																															
																															
																															
		7204.999	6332.072	7022.688	6629.624	6425.248	6449.096	6841.82	6877.059	6527.174	7141.618	6446.23	6833.439	6745.418	6253.841	6388.42	6272.173	6621.593	8227.277	7487.297	6398.196	6037.626	6643.14	6467.076	7229.242						
		8756.675	6117.418	6437.919	6586.806	6260.583	6442.353	6837.831	6542.38	6646.349	6417.178	6646.437	6115.461	5985.752	6339.125	6842.486	7424.468	6634.154	6674.78	6592.216	6041.19	6092.135	6312.429	6354.705	7521.655						
		9068.881	7582.727	6486.793	6845.113	6167.15	6639.698	6595.952	6466.233	6086.098	6819.834	7732.364	7395.268	6514.018	6713.087	6883.631	6676.332	6479.904	6586.971	6448.19	6283.275	6260.007	6342.807	6646.24	6227.877						
		9212.453	6529.758	8076.678	8064.445	6906.72	6889	7619.288	6439.698	6855.017	7370.033	6088.036	6842.607	6368.139	7007.866	7350.771	6848.674	7020.303	7116.291	6845.17	6303.677	6725.141	6398.046	6753.646	6442.738						
		10095.572	7143.211	18747.721	18083.066	7114.697	7842.398	7492.197	7586.423	12216.867	12669.925	6502.132	6978.81	13220.787	13348.478	6985.409	7464.722	8244.662	7043.505	14848.885	13221.092	6625.73	6212.785	12318.462	12602.475						
		9081.325	6550.803	7860.197	8638.964	10515.504	11752.776	6957.762	7605.573	8174.917	10762.514	11776.125	13035.094	7680.55	6457.032	6965.118	6333.1	19325.217	11010.917	7807.023	6986.276	6673.785	7866.505	8564.201	7904.721						
		15688.037	12608.679	7134.912	7332.467	6720.089	7737.48	8886.03	9508.552	11205.422	14908.786	14632.153	14845.795	9619.836	10914.438	14713.837	6186.71	19434.512	6932.21	12060.354	10672.255	14400.938	15528.409	12113.17	10672.994						
		9556.062	8879.57	8926.85	7476.99	9932.602	10616.441	20222.316	20138.48	8370.924	10902.944	11089.02	10267.571	11347.112	7802.139	18017.113	13777.423	20167.904	11593.553	6325.121	6611.136	7814.058	9348.529	11292.545	7389.926						
																															
515	23.9																														
																															
																															
																															
																															
																															
		4206.885	3935.128	4274.197	3731.021	4747.741	4073.139	4175.06	4472.729	4228.468	4271.633	4474.6	4126.739	4454.196	4013.43	4273.887	5054.202	4423.959	4120.364	4451.011	4362.77	4263.104	4434.273	4230.963	4467.711						
		4321.188	4191.767	4320.565	4269.443	3862.858	4068.105	4494.822	4252.324	4844.11	4711.072	4574.093	3880.726	4844.619	4721.571	4534.428	3999.152	4434.794	4406.69	4570.249	3677.657	4646.98	4490.462	4594	4434.688						
		4593.177	3791.389	4329.917	3907.976	3885.609	4487.321	4122.17	4290.081	4687.028	4097.777	4022.316	3908.565	4046.694	4124.692	4193.365	4274.152	4555.821	5297.894	4995.079	4560.442	4341.774	4002.905	4625.125	4220.448						
