##BLOCKS= 1          																															
Plate:	Plate01	1.3	PlateFormat	Spectrum	Fluorescence	TRUE	Raw	FALSE	22			455	560	5			13	12	384	414	Manual	455	Emission Sweep	414	6	Automatic			12	5	None
Wavelength(nm)	Temperature(¡C)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24						
455	24.2																														
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
														1041262.313	1062304.375	1058865.375	1049263.625	961920.437	952789.25	934619.063	881617.562	616917	516195.25	430886.906	273201.281						
														1464708.5	1488517.25	1524407.375	1531693.625	1443364.375	1355973	1330223.375	1267661.375	999467.563	800654.687	588111.375	492086.656						
														1791747.25	1838058.25	1830267.625	1850410	1596286.875	1601648	1481597.25	1415530.875	1202255	1045659.937	769204.875	603315.875						
														1956393.375	1977781.625	1957314.5	1927606.875	1836215.25	1578423.25	1580664.375	1493675.25	1312258.125	1143246.25	834942	715774.438						
																															
525	23.9																														
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
														817620.375	844077.25	807993.313	786863.625	696468.438	678875.563	654683.375	575197.625	554247.062	383879.531	284884.656	131258.797						
														1288735.25	1295890.875	1298728.25	1293743.625	1149988.5	1156342.5	1100415.375	1040426.937	722272.5	579494.875	443158.094	241867						
														1772737.875	1823192.625	1836760.125	1844469.5	1727027	1596457.875	1537600.625	1488300.375	1118659.75	852803.875	588781.562	424921.594						
														2189933.75	2214389.25	2189705.25	2199195	1908907.625	1890775.25	1709518	1605486.5	1357683.125	1098461.25	745847.625	523239.563						
														2363035.5	2372899.75	2307971.25	2275238	2149960	1823441	1792194.875	1652172.25	1428169.25	1205307.625	778086.75	613631.875						
																															
530	23.9																														
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
														880188.25	910776.375	863659.063	842698.437	743517.375	722037.062	685011.938	587564	573822.75	392556.281	287756.937	117155.008						
														1389763.125	1394003.375	1379228.75	1358325	1248424	1235734.75	1144180.625	1086501.125	747915	599727.188	429502.781	212945.953						
														1907068.5	1928609.625	1931427.875	1942087.5	1820031.25	1691389.875	1600677.5	1518417.25	1134798.5	863015.125	563383.625	374473.156						
														2319669.75	2335428	2322414.5	2333176	2017768.75	1977736.5	1766810.5	1636349	1384190	1099422.5	701852.125	457646.031						
														2545534.5	2526976.5	2471163	2401663.75	2280754.5	1897288.5	1854188.625	1684126.75	1460613.875	1191483.75	715525.062	546636.938						
																															
535	23.9																														
																															
																															
																															
																															
